name_cz,category_cz,name,category,kcal_100ml,sugar_g_100ml,fat_g_100ml,protein_g_100ml,salt_g_100ml,caffeine_mg_100ml,alcohol_percent
Neperlivá voda,Voda,Still Water,Water,0,0.0,0.0,0.0,0.02,0,0.0
Perlivá voda,Voda,Sparkling Water,Water,0,0.0,0.0,0.0,0.01,0,0.0
Minerální voda,Voda,Mineral Water,Water,0,0.0,0.0,0.0,0.2,0,0.0
Mattoni,Voda,Mattoni,Water,0,0.0,0.0,0.0,0.23,0,0.0
Aquila,Voda,Aquila,Water,0,0.0,0.0,0.0,0.25,0,0.0
Evian,Voda,Evian,Water,0,0.0,0.0,0.0,0.29,0,0.0
San Pellegrino,Voda,San Pellegrino,Water,0,0.0,0.0,0.0,0.19,0,0.0
Perrier,Voda,Perrier,Water,0,0.0,0.0,0.0,0.08,0,0.0
Voss Water,Voda,Voss Water,Water,0,0.0,0.0,0.0,0.25,0,0.0
Kokosová voda,Voda,Coconut Water,Water,0,0.0,0.0,0.0,0.24,0,0.0
Vitamínová voda,Voda,Vitamin Water,Water,0,0.0,0.0,0.0,0.09,0,0.0
Zelený čaj,Čaj,Green Tea,Tea,14,0.9,0.0,0.0,0.13,18,0.0
Černý čaj,Čaj,Black Tea,Tea,0,3.4,0.0,0.4,0.08,7,0.0
Bílý čaj,Čaj,White Tea,Tea,2,3.7,0.0,0.2,0.1,5,0.0
Matcha čaj,Čaj,Matcha Tea,Tea,6,4.6,0.0,0.2,0.24,5,0.0
Heřmánkový čaj,Čaj,Chamomile Tea,Tea,16,3.2,0.0,0.4,0.09,5,0.0
Mátový čaj,Čaj,Mint Tea,Tea,15,1.2,0.0,0.0,0.25,9,0.0
Rooibos čaj,Čaj,Rooibos Tea,Tea,2,5.1,0.0,0.0,0.12,25,0.0
Earl Grey čaj,Čaj,Earl Grey Tea,Tea,17,4.1,0.0,0.4,0.0,12,0.0
Jasmínový čaj,Čaj,Jasmine Tea,Tea,8,0.4,0.0,0.3,0.11,7,0.0
Ledový čaj citron,Čaj,Iced Tea Lemon,Tea,16,0.6,0.0,0.2,0.24,15,0.0
Ledový čaj broskev,Čaj,Iced Tea Peach,Tea,16,3.2,0.0,0.2,0.26,9,0.0
Bubble Tea,Čaj,Bubble Tea,Tea,13,5.4,0.0,0.4,0.09,21,0.0
Espresso,Káva,Espresso,Coffee,106,0.9,3.9,4.6,0.02,157,0.0
Dvojité espresso,Káva,Double Espresso,Coffee,21,2.7,3.2,2.7,0.16,120,0.0
Americano,Káva,Americano,Coffee,70,2.0,1.7,1.6,0.17,129,0.0
Latte,Káva,Latte,Coffee,65,2.6,2.2,4.0,0.02,155,0.0
Cappuccino,Káva,Cappuccino,Coffee,68,9.7,2.5,3.1,0.14,182,0.0
Flat White,Káva,Flat White,Coffee,40,9.4,2.1,0.7,0.08,81,0.0
Mocha,Káva,Mocha,Coffee,101,1.3,0.8,1.0,0.28,171,0.0
Cold Brew,Káva,Cold Brew,Coffee,104,4.0,0.6,1.2,0.27,162,0.0
Frappuccino,Káva,Frappuccino,Coffee,104,3.9,3.0,2.8,0.25,191,0.0
Irská káva,Káva,Irish Coffee,Coffee,110,3.8,2.1,3.1,0.06,150,0.0
