page;category;subcategory;food;sighi_score;histamine_marker;other_amines_marker;liberator_marker;inhibitor_marker;uncertain_marker;other_marker;notes
3;Potraviny živočišného původu;Vejce;vaječný bílek;2;;;L;;;;Aktivuje žírné buňky (především v syrovém stavu, ale i po uvaření).
3;Potraviny živočišného původu;Vejce;vaječný žloutek;0;;;;;;;
3;Potraviny živočišného původu;Vejce;vejce křepelčí;0;;;;;;;
3;Potraviny živočišného původu;Vejce;vejce, vejce slepičí;2;;;L;;;;Žloutek je kompatibilní, bílek aktivuje žírné buňky (především v syrovém stavu, ale i po uvaření)
3;Potraviny živočišného původu;Mléčné produkty;hotové sýrové přípravky (s dalšími ingrediencemi);2;;;;;"histamin?; amines?; liberator?";;Záleží na ingrediencích a čerstvosti.
3;Potraviny živočišného původu;Mléčné produkty;jogurt (neochucený);1;H;;;;amines?;;Produkty se mohou lišit.
3;Potraviny živočišného původu;Mléčné produkty;kefír;1;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;máslo (ošetřené mléčnou kulturou);1;H;A;;;;;Může obsahovat malé množství histaminu, obvykle dobře tolerováno.
3;Potraviny živočišného původu;Mléčné produkty;máslo čerstvé, máslo (smetanové);0;;;;;;;Nefermentované máslo.
3;Potraviny živočišného původu;Mléčné produkty;mléčné produkty z neošetřeného mléka;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;mléko kozí;0;;;;;liberator?;;
3;Potraviny živočišného původu;Mléčné produkty;mléko ovčí;0;;;;;liberator?;;
3;Potraviny živočišného původu;Mléčné produkty;mléko, bezlaktózové;1;H;;;;liberator?;;Někdy dobře tolerováno, někdy tolerováno hůře než klasické mléko.
3;Potraviny živočišného původu;Mléčné produkty;mléko, nepasterizované, tepelně neošetřené;0;H!;;;;"amines?; liberator?";;Rychle se kazící díky obsahu bakterií. Používat pouze čerstvé.
3;Potraviny živočišného původu;Mléčné produkty;mléko, pasterizované;0;;;;;liberator?;;Mléko může vadit, pokud je střevo stále rozdrážděné.
3;Potraviny živočišného původu;Mléčné produkty;mléko, sušené;1;;;;;"histamin?; liberator?";;Tolerance je individuální.
3;Potraviny živočišného původu;Mléčné produkty;mléko, UHT;0;;;;;liberator?;;UHT příprava
3;Potraviny živočišného původu;Mléčné produkty;podmáslí (mírně kyselé, na začátku fermentace);1;H;;;;;;Fermentace bakteriemi mléčného kvašení.
3;Potraviny živočišného původu;Mléčné produkty;smetana sladká (bez aditiv, neochucená);0;;;;;;;Tolerována (bez fermentace). Vždy kontrolovat aditiva (často se používají ztužovače či stabilizátory E410, E407).
3;Potraviny živočišného původu;Mléčné produkty;smetana zakysaná;1;H;;;;;;Fermentace bakteriemi mléčného kvašení. Mírně zvýšený obsah histaminu.
3;Potraviny živočišného původu;Mléčné produkty;sýr z nepasterizovaného mléka;2;H;A;;;;;Riziko zvýšeného obsahu bakterií z tepelně neošetřeného mléka.
3;Potraviny živočišného původu;Mléčné produkty;sýr: Butterkäse;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: čedar;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: dlouho zrající, vyzrálý;3;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: feta;1;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: fontina;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: Geheimratskäse;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: gouda (mladý);0;;;;;;;Doporučeno pouze malé množství.
3;Potraviny živočišného původu;Mléčné produkty;sýr: gouda (vyzrálý);2;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: mascarpone;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: mozzarella;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: nezrající (bez aditiv, neochucený);0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: plísňový;2;H;A;;;liberator?;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: raclette;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: ricotta;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: roquefort;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;sýr: tavený;2;H;A;;;;;
3;Potraviny živočišného původu;Mléčné produkty;syrovátka;0;;;;;;;
3;Potraviny živočišného původu;Mléčné produkty;tvaroh;0;;;;;;;
3;Potraviny živočišného původu;Maso;klobásy;3;H;;;;"amines?; liberator?";;Několik přípustných výjimek.
3;Potraviny živočišného původu;Maso;maso drůbeží;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso hovězí (čerstvé);0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso kachní;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso křepelčí;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso krůtí;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso kuřecí;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso mleté (balené, dříve připravené, neznámé stáří);2;H;A;;;;;Vysoce závislé na čerstvosti.
3;Potraviny živočišného původu;Maso;maso mleté (ihned po umletí);0;;;;;;;Vysoce závislé na čerstvosti.
3;Potraviny živočišného původu;Maso;maso pštrosí;0;H!;;;;;;
3;Potraviny živočišného původu;Maso;maso sušené;3;H;A;;;liberator?;;
4;Potraviny živočišného původu;Maso;ryba uzená;3;H;;;;"amines?; liberator?";;
4;Potraviny živočišného původu;Maso;salám;3;H;A;;;liberator?;;
4;Potraviny živočišného původu;Maso;šunka (sušená, ošetřená);3;H;A;;;liberator?;;
4;Potraviny živočišného původu;Maso;vnitřnosti: jazyk (telecí, hovězí);0;;;;;;;Zkontrolovat přítomnost netolerovaných surovin, pokud bylo zakoupeno jako hotové jídlo. Pouze neuzené.
4;Potraviny živočišného původu;Ryby;ančovičky;3;H;A;;;;;
4;Potraviny živočišného původu;Ryby;pstruh;0;H!;;;;;;Rychle se kazící. Rychlé hromadění histaminu.
4;Potraviny živočišného původu;Ryby;ryba (čerstvě ulovená, hluboce mražená);0;H!;A;;;;;Velmi závislé na čerstvosti a druhu.
4;Potraviny živočišného původu;Ryby;ryba (kupovaná chlazená);3;H!;A;;;;;Velmi závislé na čerstvosti a druhu.
4;Potraviny živočišného původu;Ryby;tuňák;3;H;A;;;;;
4;Potraviny živočišného původu;Mořské plody;humr;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;krab;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;krevety;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;langusta;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;měkkýši;2;H!;;L;;;;(mušle, ústřice, krab, humr, krevety)
4;Potraviny živočišného původu;Mořské plody;mlži (mušle, ústřice, hřebenatky, slávky);2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;mořské plody;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;rak;2;H!;;L;;;;
4;Potraviny živočišného původu;Mořské plody;ústřice;2;H!;;L;;;;
4;Potraviny živočišného původu;Ostatní;sádlo;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;amarant;0;;;;;;;Může způsobovat průjmy u některých lidí. Jedná se o pseudoobilninu, nezaměňovat s barvivem amaranth.
4;Potraviny rostlinného původu;Zdroje škrobů;batáty, sladké brambory;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;brambory neloupané;0;;;;;;;Uchovávejte v temnu. Zelené skrvny jsou jedovaté. Vysoký obsah salicylátů (snížená tolerance při salicylátové intoleranci).
4;Potraviny rostlinného původu;Zdroje škrobů;brambory, loupané;0;;;;;;;Uchovávejte v temnu. Zelené skrvny jsou jedovaté. Vysoký obsah salicylátů (snížená tolerance při salicylátové intoleranci).
4;Potraviny rostlinného původu;Zdroje škrobů;brambory, nové, neloupané;0;;;;;;;Uchovávejte v temnu. Zelené skrvny jsou jedovaté. Vysoký obsah salicylátů (snížená tolerance při salicylátové intoleranci).
4;Potraviny rostlinného původu;Zdroje škrobů;chléb;1;;;;;histamin?;;Problémy často způsobené přítomností: sladu, jódu, fermentaci, přítomností ATIs (inhibitory amyláz/tryptáz) z obilnin.
4;Potraviny rostlinného původu;Zdroje škrobů;jáhly;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;jam, sladké brambory, batáty;0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;ječmen;1;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;ječný slad, slad;2;;;;;"histamin?; amines?; liberator?";;
4;Potraviny rostlinného původu;Zdroje škrobů;kamut, pšenice khorasan;0;;;;;;;Vybírejte původní staré odrůdy, moderní odrůdy mohou obsahovat více ATI (inhibitory amyláz/tryptáz)
4;Potraviny rostlinného původu;Zdroje škrobů;kaštany (jedlé);0;;;;;;;
4;Potraviny rostlinného původu;Zdroje škrobů;konopné semínko (Cannabis sativa);0;;;;;;;Nehalucinogenní odrůdy.
